run,score,time,step
2,2079,95449.9,6200
2,2101,96423.9,6264
2,2111,97635.1,6340
2,2109,98773.3,6414
2,2111,99950.1,6490
2,2116,101124,6565
2,2103,102218,6636
2,2090,103187,6698
2,2089,104385,6775
2,2104,105443,6844
2,2094,106503,6913
2,2103,107567,6981
2,2113,108712,7056
2,2124,109884,7132
2,2077,110812,7192
2,2105,111857,7259
2,2087,112819,7322
2,2088,113887,7391
2,2112,115051,7467
2,2107,116323,7549
2,2085,117446,7622
2,2094,118493,7690
2,2105,119604,7762
2,2102,120716,7835
2,2082,121656,7895
2,2082,122492,7949
2,2107,123471,8012
2,2097,124653,8089
2,2096,125810,8164
2,2080,126728,8223
2,2092,127758,8289
2,2096,128746,8353
2,2091,129775,8419
2,2104,130847,8489
2,2095,131972,8562
2,2083,133067,8633
2,2105,134159,8704
2,2095,135255,8775
2,2117,136472,8854
2,2108,137634,8929
2,2112,138992,9017
2,2082,140020,9083
2,2081,141043,9149
2,2075,141951,9208
2,2091,143047,9278
2,2094,144127,9349
2,2091,145112,9413
2,2094,146109,9477
2,2088,147345,9557
2,2088,148384,9625
2,2104,149578,9702
3,2092,1120.92,72
3,2112,2234.22,145
3,2113,3423.78,222
3,2073,4321.89,280
3,2096,5427.28,352
3,2106,6539.58,424
3,2087,7640.74,495
3,2062,8448.33,547
3,2085,9479.17,614
3,2096,10462.5,678
3,2082,11404.8,739
3,2100,12385.6,803
3,2110,13458.4,872
3,2099,14519.8,941
3,2088,15573.5,1009
3,2102,16661.9,1080
3,2080,17787.3,1153
3,2081,18786.5,1218
3,2086,19863.3,1287
3,2090,21000.3,1361
3,2100,22099,1432
3,2097,23281.5,1509
3,2095,24042,1558
3,2124,25155.7,1631
3,2093,26132.2,1693
3,2091,27219.1,1764
3,2081,28240.4,1830
3,2105,29316.2,1900
3,2081,30239.6,1960
3,2113,31452.1,2039
3,2093,32410,2101
3,2077,33366.9,2163
3,2111,34518.3,2238
3,2107,35809.5,2321
3,2092,36768.6,2384
3,2096,37974.5,2462
3,2100,38944,2525
3,2109,39988.3,2593
3,2104,41037,2661
3,2095,42102.2,2730
3,2087,43124.7,2797
3,2101,44058,2857
3,2104,45270.7,2936
3,2101,46442.2,3012
3,2092,47489.4,3080
3,2077,48399.6,3139
3,2080,49252.7,3194
3,2098,50324,3264
3,2094,51326.5,3329
3,2124,52509.4,3402
3,2111,53609.5,3474
3,2099,54585.8,3538
3,2095,55718.3,3611
3,2111,56791.4,3681
3,2103,57809.4,3747
3,2121,59229.6,3840
3,2129,60574.8,3928
3,2105,61569.5,3993
3,2078,62574.9,4059
3,2090,63592.8,4125
3,2115,64799.8,4204
3,2096,65959.8,4279
3,2085,67012.3,4348
3,2096,68128.7,4420
3,2111,69149.1,4486
3,2090,70100.3,4548
3,2096,71154.4,4616
3,2091,72258.8,4687
3,2096,73310.4,4755
3,2095,74528.3,4834
3,2097,75683.2,4909
3,2082,76632.6,4970
3,2070,77537.2,5029
3,2104,78737.7,5107
3,2087,79716.1,5170
3,2098,80731.4,5236
3,2084,81731.4,5301
3,2101,82796.4,5370
3,2090,83940.9,5444
3,2109,85129.1,5522
3,2109,86370,5602
3,2102,87452.7,5672
3,2092,88425.2,5735
3,2089,89359.2,5796
3,2097,90356.8,5860
3,2089,91270.8,5919
3,2096,92236.7,5982
3,2092,93170.3,6043
3,2096,94142.9,6106
3,2090,95059.8,6166
3,2076,96028.9,6229
3,2090,97049.6,6296
3,2116,98275.1,6375
3,2084,99156.5,6432
3,2103,100247,6503
3,2096,101196,6565
3,2084,102120,6625
3,2097,103157,6693
3,2087,104144,6756
3,2094,105148,6821
3,2090,106297,6895
3,2094,107259,6958
3,2098,108311,7026
3,2090,109520,7104
3,2082,110448,7164
3,2105,111438,7228
3,2106,112502,7296
3,2097,113578,7365
3,2098,114667,7436
3,2093,115571,7495
3,2098,116614,7563
3,2101,117586,7626
3,2089,118567,7690
3,2093,119593,7755
3,2099,120729,7827
3,2088,121603,7883
3,2106,122790,7959
3,2079,123791,8020
3,2076,124619,8073
3,2084,125587,8135
3,2096,126619,8201
3,2098,127666,8267
3,2097,128713,8334
3,2096,129712,8397
3,2094,130932,8474
3,2095,132104,8549
3,2104,133072,8612
3,2103,134258,8687
3,2099,135359,8758
3,2086,136342,8822
3,2109,137587,8901
3,2102,138533,8962
3,2084,139600,9031
3,2104,140838,9110
3,2105,141869,9175
3,2098,143088,9253
3,2101,144228,9326
3,2085,145297,9395
3,2106,146307,9460
3,2102,147486,9535
3,2087,148548,9603
3,2102,149783,9683
4,2092,1014.83,66
4,2097,1946.3,124
4,2087,2999.37,191
4,2091,4170.95,265
4,2073,4937.55,314
4,2108,5983.86,379
4,2090,6946.51,441
4,2083,8010.36,509
4,2080,8895.97,567
4,2100,9953.13,634
4,2090,11015.2,702
4,2087,11984.2,763
4,2081,12906.2,821
4,2107,14000,891
4,2100,15093.3,961
4,2084,16078.2,1021
4,2106,17015.2,1081
4,2099,18218.8,1158
4,2113,19484.4,1239
4,2086,20484.4,1303
4,2092,21500,1367
4,2097,22608.8,1437
4,2096,23671.4,1504
4,2110,24874.4,1581
4,2113,26172,1662
4,2089,27065.8,1720
4,2102,28200.5,1793
4,2092,29180.1,1857
4,2089,30234.1,1924
4,2111,31427,2000
4,2092,32508.2,2070
4,2118,33609.6,2140
4,2106,34765.8,2214
4,2100,35874.7,2284
4,2088,36969.1,2354
4,2086,37905.9,2413
4,2092,38937.3,2478
4,2086,39892.4,2539
4,2105,41031.5,2611
