1,977,28599.7,67
1,977,46382.9,138
1,973,66666.1,209
1,981,114851,303
1,976,146255,379
2,979,37115.8,87
2,971,61613,151
2,978,98503.3,234
2,973,117890,303
2,972,145511,377
3,979,27691,80
3,974,55047.4,150
3,970,71695.9,211
3,973,80470.3,279
3,973,91831.8,338
3,969,119323,404
3,973,135963,467
4,971,22334.9,68
4,971,36390.5,132
4,975,69364,215
4,973,94460.1,292
4,976,130326,370
5,972,31826.9,68
5,971,57931.4,136
5,967,82695.5,201
5,976,120796,270
5,976,140226,341
6,978,22405.6,80
6,976,52802.1,157
6,973,80406.7,223
6,968,106561,292
6,970,128660,363
6,968,150747,431
7,976,19601.3,71
7,967,25483.3,121
7,979,55730.6,193
7,969,67122.3,260
7,976,83813.9,331
7,973,95189.5,398
7,967,111941,463
7,973,136913,536
8,973,8891.52,71
8,978,42010,149
8,975,66728.3,221
8,976,88882.8,289
8,977,108220,351
8,972,130372,429
9,972,6090.61,60
9,972,17521.4,129
9,975,36908.1,199
9,974,69636.9,276
9,970,102429,352
9,969,127329,415
10,973,44391.5,83
10,976,77484.6,166
10,979,108033,244
10,968,122331,309
10,973,133916,372
11,969,8894,65
11,978,41833.1,136
11,971,72020.2,198
11,969,80710,257
11,976,100267,329
11,972,114388,393
11,975,141932,465
11,972,148144,524
12,979,28345.7,79
12,970,42778.2,137
12,972,71412.2,212
12,971,88604.2,279
12,970,106474,340
12,980,126899,409
13,968,26176.9,65
13,975,35246.2,135
13,972,50233.7,192
13,971,73402.2,255
13,977,87962.7,321
13,971,108998,395
13,973,121317,457
13,972,151019,528
14,978,48543.4,82
14,979,87651,158
14,971,112781,229
14,974,132381,300
15,969,14289.8,69
15,974,39135.2,145
15,976,50531.4,209
15,969,80691.9,275
15,974,92163.8,342
15,967,106199,402
15,971,122961,467
15,975,139801,531
16,978,27308.5,73
16,973,60224.8,140
16,969,75144.8,211
16,974,110583,283
16,974,134557,348
17,969,17650.7,64
17,972,27317.1,121
17,975,45224.2,188
17,973,62773.2,268
17,974,80166.1,339
17,971,113062,412
17,969,136037,477
18,977,27316.5,72
18,969,38701,128
18,971,52995.7,203
18,978,89671.3,281
18,971,118401,348
18,978,142390,421
19,970,11595.8,66
19,968,31426.3,128
19,968,42811.1,187
19,977,68835.9,258
19,972,91575.8,331
19,978,114282,407
19,975,144429,484
20,967,32035.7,67
20,976,56256.8,140
20,973,77477.7,208
20,979,94966.8,264
20,974,129565,335
