11,958,1693.41,41
11,963,5527.65,75
11,962,12950.1,126
11,966,20341.9,178
11,963,24136.7,218
11,965,26842.6,258
11,961,32981.8,298
11,956,34551.2,337
11,965,45199.7,386
11,965,53728.2,439
11,961,59878.9,484
11,961,62514.1,518
11,959,65078,550
11,965,72364.8,596
12,955,3853.21,34
12,969,14769.5,83
12,958,17443.9,121
12,964,20201.4,166
12,966,29798.2,216
12,967,31336.7,255
12,964,39792.9,308
12,960,49398.7,357
12,964,60041.1,398
12,963,64068,445
12,958,69112.3,487
12,959,71798.1,523
12,970,83996.7,595
12,952,87779.1,629
12,952,90469.2,668
12,964,94433.4,707
12,967,100525,750
12,960,106609,792
12,969,115121,844
12,966,127038,901
12,964,131996,939
12,960,136958,976
12,956,143145,1017
12,970,150465,1066
13,964,5090.28,41
13,956,11559.1,85
13,964,17847.5,135
13,957,25107.8,173
13,955,32359.3,213
13,971,38504.9,261
13,964,43521.4,307
13,961,47385.4,352
13,964,52371,395
13,962,56168.4,434
13,961,61127.3,474
13,967,63844.2,518
13,969,66502.5,559
13,960,71575.7,603
13,958,72966.5,630
13,964,77987.4,672
13,958,84193,715
13,969,97270.1,779
13,957,103534,833
13,966,105048,871
13,963,108870,910
13,954,116211,951
13,957,118897,990
13,962,123749,1022
13,968,136912,1086
13,958,143010,1128
14,963,5024.51,37
14,967,6557.61,74
14,965,13980.1,123
14,961,17815.3,165
14,964,22851,210
14,965,25572.3,250
14,957,34131.8,299
14,960,38015.4,345
14,959,40599.6,375
14,959,45558.5,418
14,961,49404.4,463
14,956,50930.9,499
14,960,53696.2,543
14,960,58709.8,588
14,960,64874.4,627
14,964,68647.6,665
14,956,70153.3,700
14,964,76301,747
14,959,80112.8,783
14,949,82729,815
14,959,86576.8,857
14,964,93931.1,903
14,964,98964.6,948
14,969,104056,1001
14,965,110154,1049
14,964,116265,1095
14,965,120176,1139
14,965,121625,1170
14,961,126482,1203
14,951,129095,1232
14,964,136346,1279
14,960,143656,1329
14,956,149896,1373
15,959,8856.08,49
15,958,13882.4,87
15,960,18900.1,125
15,959,21554.7,160
15,968,26500.7,197
15,962,29193.4,235
15,965,34279,285
15,964,42635.3,326
15,964,48801.2,371
15,959,52532.9,406
15,967,57471.6,444
15,967,62424.4,487
15,961,68613.6,532
15,956,72417.9,566
15,965,75133.4,609
15,962,77850,654
15,962,83975.3,696
15,964,91208.6,740
15,951,95155.5,782
15,963,101355,830
15,960,106401,876
15,956,107935,913
15,959,110578,947
15,964,117856,993
15,964,121725,1036
15,965,131312,1084
15,952,135169,1123
15,958,136664,1158
15,956,143886,1197
15,963,147740,1236
